	productname	categorycode	categoryname
50316	ISAFLUSH  ARIZONA NUTRITIONAL SUPPLEMENTS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50318	CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMINS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50320	CENTRUM SILVER ADUTS 50+ (MULTIMINERALS, MULTIVITAMIN) TABLET	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50321	CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50322	CENTRUM SILVER 50+ MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50323	MULTIVITAMIN UNSPECIFIED	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50324	PRIMUS PHARMACEUTICALS LIMBREL	41	Dietary Conv Food/Meal Replacements
50327	CENTRUM SILVE WOMENS 50+ MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50329	OLIVE LEAF EXTRACT	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50330	SERINISOL	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50333	BENEFIBER SUGAR FREE (WHEAT DEXTRIN)	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50334	SIGIS FRUITCAKE	3	Bakery Prod/Dough/Mix/Icing
50339	CENTRUM SILVER MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50340	CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN TABLET	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50341	CENTRUM FLAVOR BURST MULTIMINERALS, MULTIVITAMINS CHEWABLE TABLET	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50342	CENTRUM SPECIALIST ENERGY MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50343	PRONUTRIENTS OMEGA 3 (OMEGA-3 FISH OIL CONCENTRATE) CAPSULE, SOFT	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50344	LAURA MERCIER FRESH FIG CREME BODY WASH	53	Cosmetics
50345	NOW 5-HTP	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50347	EL POTRERO PINE NUTS, ROASTED	23	Nuts/Edible Seed
50349	SUPPLEMENTS (UNSPECIFIED)	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50351	SLOW-MAG MAGNESIUM, CALCUIM GASTRO RESISTANT TABLET	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50381	KIND PLUS BLUEBERRY, PECAN + FIBER CANDY BAR	34	Choc/Cocoa Prod
50382	AVON MEGA EFFECTS MASCARA	53	Cosmetics
50384	CHRISTMAS COOKIES WITH PINE NUTS	23	Nuts/Edible Seed
50385	DOTERRA ESSENTIAL OILS VARIOUS TYPES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50387	KELLOGG'S ORIGINAL CORN FLAKES	5	Cereal Prep/Breakfast Food
50388	COOS BAY OYSTER COMPANY RAW, SHUCKED OYSTERS	16	Fishery/Seafood Prod
50389	NUTRA BALANCE PRODUCTS THICKENED WATER-NECTAR THICK-PHASE 1	41	Dietary Conv Food/Meal Replacements
50391	MINDCARE 585MG CAPSULE THE HIMALAYA DRUG COMPANY	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50392	MINDCARE JR 310 MG CAPSULE THE HIMALAYA DRUG COMPANY	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50394	BRACH'S CANDY CORN. VALUE BAG 26 O	33	Candy W/O Choc/Special/Chew Gum
50395	HERBALIFE NUTRITIONAL SHAKES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50396	MULTIVIAMIN PREPARATION  (MULTIVITAMINS)	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50399	ATKINS MEXICAN STYLE CHICKEN WITH VEGATABLES	37	Mult Food Dinner/Grav/Sauce/Special
50400	AMERICAN IMPORTING CO., INC. PINE NUTS	23	Nuts/Edible Seed
50401	NERIUM NERIUM AD	53	Cosmetics
50403	PURITAN'S PRIDE VITAMINS FOR THE HAIR ONE PER DAY COATED TABLET	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
